Name,Wave,f,A,Ion,Elt,Lvl,MW,Mass
HI913.8,913.826,0.00017,1,HI,H,I,0,1.0079
HI914.0,914.039,0.000197,1,HI,H,I,0,1.0079
HI914.3,914.286,0.00023,1,HI,H,I,0,1.0079
HI914.6,914.576,0.00027,0,HI,H,I,0,1.0079
HI914.9,914.919,0.000321,0,HI,H,I,0,1.0079
HI915.3,915.329,0.000386,0,HI,H,I,0,1.0079
HI915.8,915.824,0.000469,0,HI,H,I,0,1.0079
HI916,916.429,0.000577,0,HI,H,I,0,1.0079
HI917,917.1806,0.000723,1910000,HI,H,I,0,1.0079
HI918,918.1294,0.000921,2430000,HI,H,I,0,1.0079
HI919,919.3514,0.0012,3160000,HI,H,I,0,1.0079
HI920,920.9631,0.00161,4210000,HI,H,I,0,1.0079
HI923,923.1504,0.00222,5780000,HI,H,I,0,1.0079
HI926,926.2257,0.00318,8240000,HI,H,I,0,1.0079
HI930,930.7483,0.00482,12400000,HI,H,I,0,1.0079
HI937,937.8035,0.0078,24500000,HI,H,I,0,1.0079
HI949,949.7431,0.0139,42000000,HI,H,I,1,1.0079
HI972,972.5368,0.029,81300000,HI,H,I,1,1.0079
HI1025,1025.7223,0.0791,190000000,HI,H,I,1,1.0079
HI1216,1215.6701,0.416,627000000,HI,H,I,1,1.0079
OI919,919.908,0.000178,1,OI,O,I,0,58.9332
OI921,921.857,0.00108,1,OI,O,I,0,58.9332
OI922,922.2,0.000245,1,OI,O,I,0,58.9332
OI924,924.952,0.00153,1,OI,O,I,0,58.9332
OI925,925.442,0.000354,1,OI,O,I,0,58.9332
OI929,929.517,0.00193,10600000,OI,O,I,0,58.9332
OI930,930.257,0.000537,6900000,OI,O,I,0,58.9332
OI936,936.629,0.00305,16600000,OI,O,I,0,58.9332
OI937,937.8405,0.000872,0,OI,O,I,0,58.9332
OI948,948.6855,0.0053,28100000,OI,O,I,0,58.9332
OI950,950.8846,0.00157,38800000,OI,O,I,0,58.9332
OI971,971.738,0.0124,66000000,OI,O,I,0,58.9332
OI972,972.1428,0.000317,15000000,OI,O,I,0,58.9332
OI976,976.4481,0.0033,80100000,OI,O,I,0,58.9332
OI988,988.773,0.0432,239000000,OI,O,I,0,58.9332
OI*990,990.2043,0.0385,239000000,OI*,O,I,0,58.9332
OI1025,1025.7616,0.0171,101000000,OI,O,I,0,58.9332
OI1039,1039.23,0.0092,189000000,OI,O,I,0,58.9332
OI1302,1302.1685,0.0489,575000000,OI,O,I,1,58.9332
OI*1304,1304.8576,0.0488,575000000,OI*,O,I,0,58.9332
OVI1031,1031.9261,0.133,416000000,OVI,O,VI,1,58.9332
OVI1037,1037.6167,0.0661,410000000,OVI,O,VI,0,58.9332
CI945,945.191,0.151,1,CI,C,I,1,12.0107
CI1103,1103.629,0.0145,0,CI,C,I,0,12.0107
CI1112,1112.269,0.0161,0,CI,C,I,0,12.0107
CI1114,1114.628,0.0113,0,CI,C,I,0,12.0107
CI1139,1139.793,0.014,0,CI,C,I,0,12.0107
CI1157,1157.9097,0.0218,0,CI,C,I,0,12.0107
CI1188,1188.8332,0.0129,0,CI,C,I,0,12.0107
CI1193.0,1193.0308,0.0445,130000000,CI,C,I,0,12.0107
CI1193.9,1193.9955,0.0128,0,CI,C,I,0,12.0107
CI1260,1260.7351,0.0507,240000000,CI,C,I,0,12.0107
CI1277,1277.2452,0.0853,232000000,CI,C,I,0,12.0107
CI*1277.2,1277.2827,0.0666,246000000,CI*,C,I,0,12.0107
CI*1277.5,1277.5131,0.021,232000000,CI*,C,I,0,12.0107
CI1280,1280.1353,0.0243,106000000,CI,C,I,0,12.0107
CI1328,1328.8333,0.0758,288000000,CI,C,I,0,12.0107
CI1560,1560.3092,0.0804,132000000,CI,C,I,0,12.0107
CI1656,1656.9283,0.141,341000000,CI,C,I,1,12.0107
CI*1656,1656.2672,0.0586,342000000,CI*,C,I,0,12.0107
CI*1657.3,1657.3792,0.0351,341000000,CI*,C,I,0,12.0107
CI*1657.9,1657.9068,0.0468,341000000,CI*,C,I,0,12.0107
CII1036,1036.3367,0.123,2290000000,CII,C,II,1,12.0107
CII*1037,1037.0182,0.123,2290000000,CII,C,II,0,12.0107
CII1334,1334.5323,0.128,287000000,CII,C,II,1,12.0107
CII*1335.6,1335.6627,0.0128,287000000,CII*,C,II,0,12.0107
CII*1335.7,1335.7077,0.115,286000000,CII*,C,II,0,12.0107
CII2325,2325.403,0.0000000448,121,CII,C,II,0,12.0107
CIII977,977.02,0.762,1780000000,CIII,C,III,1,12.0107
CIII1908,1908.734,0.000000123,75.2,CIII,C,III,0,12.0107
CIV1548,1548.195,0.191,265000000,CIV,C,IV,1,12.0107
CIV1550,1550.77,0.0952,264000000,CIV,C,IV,1,12.0107
CaII1341,1341.8901,0.00194,0,CaII,Ca,II,0,40.078
CaII1342,1342.5536,0.00112,0,CaII,Ca,II,0,40.078
CaII1649,1649.8579,0.00136,0,CaII,Ca,II,0,40.078
CaII1651,1651.9909,0.00091,0,CaII,Ca,II,0,40.078
ClI984,984.2865,0.0244,0,ClI,Cl,I,0,35.4527
ClI987,987.9145,0.0378,0,ClI,Cl,I,0,35.4527
ClI996,996.5402,0.0208,0,ClI,Cl,I,0,35.4527
ClI1002,1002.3464,0.0705,0,ClI,Cl,I,0,35.4527
ClI1004,1004.6676,0.158,0,ClI,Cl,I,0,35.4527
ClI1025,1025.2821,0.0445,0,ClI,Cl,I,0,35.4527
ClI1028,1028.1739,0.0223,0,ClI,Cl,I,0,35.4527
ClI1030,1030.8845,0.0287,0,ClI,Cl,I,0,35.4527
ClI1031,1031.507,0.151,0,ClI,Cl,I,0,35.4527
ClI1042,1042.7793,0.025,0,ClI,Cl,I,0,35.4527
ClI1043,1043.9857,0.0181,0,ClI,Cl,I,0,35.4527
ClI1084,1084.667,0.032,0,ClI,Cl,I,0,35.4527
ClI1088,1088.0589,0.081,0,ClI,Cl,I,0,35.4527
ClI1094,1094.7686,0.0166,0,ClI,Cl,I,0,35.4527
ClI1096,1096.8098,0.0109,0,ClI,Cl,I,0,35.4527
ClI1097,1097.3692,0.0088,0,ClI,Cl,I,0,35.4527
ClI1099,1099.523,0.0114,0,ClI,Cl,I,0,35.4527
ClI1101,1101.9361,0.0113,0,ClI,Cl,I,0,35.4527
ClI1335,1335.7258,0.0299,676000000,ClI,Cl,I,0,35.4527
ClI1347,1347.2396,0.153,662000000,ClI,Cl,I,0,35.4527
CoII1187,1187.417,0.00742,0,CoII,Co,II,0,58.9332
CoII1188,1188.49,0.00231,0,CoII,Co,II,0,58.9332
CoII1424,1424.779,0.0109,0,CoII,Co,II,0,58.9332
CoII1448,1448.011,0.0079,0,CoII,Co,II,0,58.9332
CoII1466,1466.203,0.031,0,CoII,Co,II,0,58.9332
CoII1480,1480.951,0.0119,0,CoII,Co,II,0,58.9332
